320,0.07870307675114384,[0.38578097 0.34066994 0.32857734 0.30411402 0.2863912 0.26760874 0.22882755 0.18809608 0.15438942],[0.37606838 0.32991453 0.31794872 0.29401709 0.27521368 0.25641026 0.21709402 0.18119658 0.14529915],[0.70696582 0.67464632 0.67429792 0.64775471 0.66512346 0.65270429 0.5781893 0.5 0.39814815],[0.78892734 0.80737705 0.81938326 0.81730769 0.83684211 0.86046512 0.81699346 0.78947368 0.72033898]
352,0.05694361969276711,[0.46053921 0.41177275 0.38904282 0.36356877 0.34065399 0.31822863 0.303719 0.27103236 0.21386866],[0.45641026 0.40683761 0.37948718 0.35384615 0.32649573 0.3042735 0.28888889 0.26153846 0.20854701],[0.69642676 0.70914028 0.699334 0.69847082 0.72749853 0.73178211 0.71326359 0.625 0.49470899],[0.78186969 0.81849315 0.82954545 0.85355649 0.86976744 0.88832487 0.88709677 0.86627907 0.80536913]
384,0.056295805507236056,[0.48434755 0.43898005 0.40816857 0.39504176 0.363845 0.34137615 0.31471103 0.27358592 0.22596616],[0.49230769 0.44786325 0.41367521 0.3982906 0.36239316 0.34188034 0.31452991 0.27350427 0.22735043],[0.66804122 0.70073825 0.70906104 0.73417769 0.71873435 0.68159443 0.66148127 0.59955107 0.53518519],[0.76237624 0.7994012 0.81939799 0.8381295 0.84677419 0.85042735 0.85849057 0.86956522 0.83647799]
416,0.05651741557651096,[0.53962015 0.47375801 0.44924777 0.42640781 0.39242204 0.3598589 0.33548325 0.30958341 0.25879024],[0.55897436 0.49230769 0.46837607 0.44444444 0.41025641 0.37948718 0.35213675 0.32136752 0.26495726],[0.65276595 0.66655577 0.72458113 0.71397814 0.64980378 0.62823912 0.62257061 0.62649177 0.55541526],[0.7397541 0.77974684 0.81766382 0.834375 0.82608696 0.83955224 0.85833333 0.86976744 0.84615385]
448,0.0578883135760272,[0.55633263 0.49833803 0.46087547 0.44051747 0.41595066 0.38668309 0.36730898 0.33069525 0.26002841],[0.58632479 0.52478632 0.49230769 0.47008547 0.44102564 0.41196581 0.38974359 0.35042735 0.27179487],[0.62670354 0.66927752 0.72174289 0.70506721 0.69556817 0.66625413 0.65518717 0.65280951 0.59876543],[0.72893773 0.78409091 0.8125 0.8220339 0.82919255 0.83164983 0.84363636 0.85477178 0.86021505]
480,0.05794395340813531,[0.61552095 0.53510145 0.49171709 0.46851639 0.42033073 0.39024307 0.36591134 0.32276573 0.26823938],[0.64957265 0.57435897 0.53504274 0.50598291 0.45982906 0.42222222 0.39316239 0.34700855 0.29059829],[0.61411266 0.61481042 0.6482208 0.66793354 0.6465253 0.66446152 0.66470024 0.62503307 0.62559524],[0.69073783 0.72533849 0.76091954 0.7840617 0.8125 0.83333333 0.85555556 0.85232068 0.87113402]
512,0.05829542213016086,[0.59323771 0.55425282 0.51824248 0.49496333 0.46422188 0.43227258 0.40392371 0.3685657 0.28998733],[0.64444444 0.6 0.56410256 0.54017094 0.50598291 0.47179487 0.44444444 0.4034188 0.31282051],[0.59138388 0.61551473 0.6453475 0.66389681 0.67182907 0.65745551 0.64400312 0.64387526 0.61542408],[0.66971081 0.72623574 0.77142857 0.79418886 0.81671159 0.82686567 0.83386581 0.85869565 0.86666667]
544,0.05886998883000127,[0.61797329 0.57128558 0.53874968 0.50863025 0.47441519 0.45351114 0.41679527 0.35884241 0.26081275],[0.66837607 0.62051282 0.58632479 0.55384615 0.51623932 0.49059829 0.45128205 0.3982906 0.28888889],[0.56453262 0.58764509 0.61962508 0.64214423 0.63712091 0.6645887 0.67761683 0.63640778 0.58877131],[0.63448276 0.6897747 0.73427992 0.76749436 0.78535354 0.81111111 0.82352941 0.84229391 0.83663366]
576,0.05949911806318495,[0.62635678 0.59479494 0.54543204 0.52094752 0.50313663 0.46703919 0.42851564 0.37690264 0.27310806],[0.68205128 0.64444444 0.59487179 0.56752137 0.54700855 0.50940171 0.46666667 0.41709402 0.3008547],[0.53708212 0.56539641 0.58647703 0.60486691 0.61934172 0.64457921 0.65490477 0.66250385 0.62965902],[0.59371069 0.66299213 0.6962963 0.72478992 0.74829932 0.79210526 0.81791045 0.84429066 0.84951456]
608,0.062128791102656615,[0.65412766 0.59841661 0.56361299 0.52871456 0.50997288 0.47921893 0.44575123 0.38067532 0.26577523],[0.71111111 0.65641026 0.62051282 0.58461538 0.56410256 0.53162393 0.4974359 0.43247863 0.2991453],[0.53780034 0.55955156 0.58811795 0.61564619 0.64113528 0.64000624 0.65400564 0.63324361 0.61651969],[0.58372642 0.64906832 0.69908257 0.73995772 0.76376147 0.7884131 0.81111111 0.82622951 0.82938389]
640,0.06231399377187093,[0.65489125 0.61837321 0.59243718 0.55898777 0.52846762 0.48840077 0.42990369 0.36540887 0.25007957],[0.70940171 0.67008547 0.64444444 0.61538462 0.58119658 0.54017094 0.48205128 0.41709402 0.29059829],[0.52931391 0.55456604 0.58929309 0.60317126 0.6320333 0.63465385 0.64424603 0.63473625 0.65831468],[0.56561086 0.63165468 0.68923611 0.72168906 0.75 0.77777778 0.80802292 0.82993197 0.84577114]
672,0.06609190834893121,[0.67660514 0.6371766 0.59895203 0.55713427 0.51405967 0.46811599 0.42248812 0.35949777 0.25894073],[0.72991453 0.69230769 0.64957265 0.60683761 0.57094017 0.52478632 0.47692308 0.41196581 0.3042735],[0.50842682 0.52752559 0.5636928 0.59069375 0.57721047 0.5969928 0.61266379 0.63955805 0.63549383],[0.53991597 0.6115007 0.67005076 0.69639469 0.71518987 0.75060533 0.77562327 0.80872483 0.85576923]
704,0.07016588581932916,[0.69713576 0.63016888 0.57326695 0.53431988 0.48963783 0.44422587 0.39093468 0.3237796 0.19996225],[0.74017094 0.68888889 0.63418803 0.5982906 0.55213675 0.5042735 0.44615385 0.37435897 0.24102564],[0.49252639 0.51989121 0.54098002 0.5758306 0.60985941 0.59092999 0.60624224 0.62640857 0.54349647],[0.51314508 0.59866667 0.63815789 0.68809074 0.73707865 0.75255102 0.77151335 0.81716418 0.79213483]
